"Source",,"Baseline
(Jan 1 bal)","Current Balance","Interest Rate","Minimum Payment","URL",
"BofA","BoA","$18,890.08","$18,997.58","22.49%","$536.00","b","-$107.50"
"HELOC","CUA","$18,857.25","$18,798.68","7.25%","$233.00","CU of America","$58.57"
"5 Lakes","5LK","$4,233.00",2000,,"$196.00",,
"CapitalOne",,"$1,586.00","On Hold (5Lk)",,,,
"PPC",,"$2,200.00","On Hold (5Lk)",,,,
"EBAY",,"$2,231.00","On Hold (5Lk)",,,,
,,,,,,,
"Shepack",,,,,,,
,,,,,,,
,,"$47,997.33","$37,796.26",,"$965.00","Total","$10,201.07"
